===== QUEUE_PREPARE A_field_d0 outcome=EXACT — CUMULATIVE =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: cumulative time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5530/5418    0.134    0.000    0.772    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:205(flatten)
      808    0.003    0.000    0.612    0.001 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/adaptive_density_fan.py:860(_objective)
6943/6938    0.004    0.000    0.558    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/expr.py:251(__mul__)
     2451    0.015    0.000    0.557    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/adaptive_density_fan.py:167(_dual_dot)



===== QUEUE_PREPARE A_field_d0 outcome=EXACT — TOTTIME =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: internal time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224    5.139    0.023    5.618    0.025 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:111(_pollard_rho_brent_attempt)
6594615/6594419    0.389    0.000    0.390    0.000 {built-in method builtins.abs}
5530/5418    0.134    0.000    0.772    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:205(flatten)
   185763    0.102    0.000    0.102    0.000 {built-in method math.gcd}
     3200    0.096    0.000    0.209    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/facts.py:599(deduce_all_facts)
71055/22427    0.069    0.000    1.406    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/cache.py:69(wrapper)
